Season;Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1
2023-2024;Ferland Mendy;frFRA;DF;28;23;21;1720;19,1;0;0;0;0;0;0;5;0;0,2;0,2;0,9;1,1;19;84;96;0;0;0;0;0;0,01;0,05;0,06;0,01;0,06
2023-2024;Nacho;esESP;DF;33;29;18;1746;19,4;0;1;1;0;0;0;4;2;0,5;0,5;1,2;1,7;13;55;9;0;0,05;0,05;0;0,05;0,03;0,06;0,09;0,03;0,09
2023-2024;Luka Modrić;hrCRO;MF;37;32;18;1688;18,8;2;6;8;2;0;0;2;0;1,3;1,3;5,5;6,8;53;196;85;0,11;0,32;0,43;0,11;0,43;0,07;0,3;0,37;0,07;0,37
2023-2024;Brahim Díaz;maMAR;FW;23;31;18;1545;17,2;8;6;14;8;0;0;0;0;5,7;5,7;4,4;10,1;76;75;166;0,47;0,35;0,82;0,47;0,82;0,33;0,26;0,59;0,33;0,59
2023-2024;Brahim Díaz;maMAR;MF;23;31;18;1545;17,2;8;6;14;8;0;0;0;0;5,7;5,7;4,4;10,1;76;75;166;0,47;0,35;0,82;0,47;0,82;0,33;0,26;0,59;0,33;0,59
2023-2024;Joselu;esESP;FW;33;34;15;1687;18,7;10;2;12;10;0;2;1;0;11,6;10;1,7;11,7;15;20;98;0,53;0,11;0,64;0,53;0,64;0,62;0,09;0,71;0,53;0,62
2023-2024;Fran Garcia;esESP;DF;23;25;15;1398;15,5;1;5;6;1;0;0;2;0;0,5;0,5;2,4;3;53;60;139;0,06;0,32;0,39;0,06;0,39;0,03;0,16;0,19;0,03;0,19
2023-2024;Lucas Vázquez;esESP;DF;32;29;14;1419;15,8;3;6;9;3;0;0;0;0;1,2;1,1;3,8;4,8;28;58;160;0,19;0,38;0,57;0,19;0,57;0,07;0,24;0,31;0,07;0,31
2023-2024;David Alaba;atAUT;DF;31;14;14;1154;12,8;0;1;1;0;0;0;2;0;1;1;0,7;1,6;9;51;13;0;0,08;0,08;0;0,08;0,08;0,05;0,13;0,08;0,13
2023-2024;Kepa Arrizabalaga;esESP;GK;28;14;13;1198;13,3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024;Éder Militão;brBRA;DF;25;10;6;496;5,5;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;7;15;2;0;0;0;0;0;0,02;0;0,02;0,02;0,02
2023-2024;Dani Ceballos;esESP;MF;26;20;5;598;6,6;0;2;2;0;0;0;2;0;0,3;0,3;1,5;1,8;16;47;23;0;0,3;0,3;0;0,3;0,05;0,22;0,27;0,05;0,27
2023-2024;Dani Ceballos;esESP;FW;26;20;5;598;6,6;0;2;2;0;0;0;2;0;0,3;0,3;1,5;1,8;16;47;23;0;0,3;0,3;0;0,3;0,05;0,22;0,27;0,05;0,27
2023-2024;Arda Güler;trTUR;FW;18;10;4;377;4,2;6;0;6;6;0;0;1;0;1,4;1,4;0,1;1,6;16;17;25;1,43;0;1,43;1,43;1,43;0,34;0,03;0,37;0,34;0,37
2023-2024;Arda Güler;trTUR;MF;18;10;4;377;4,2;6;0;6;6;0;0;1;0;1,4;1,4;0,1;1,6;16;17;25;1,43;0;1,43;1,43;1,43;0,34;0,03;0,37;0,34;0,37
2023-2024;Thibaut Courtois;beBEL;GK;31;4;4;332;3,7;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0,03;0,03;0;0,03
2023-2024;Nicolás Paz;arARG;MF;18;4;0;23;0,3;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;3;6;2;0;0;0;0;0;0,31;0;0,31;0,31;0,31
2023-2024;Nicolás Paz;arARG;FW;18;4;0;23;0,3;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;3;6;2;0;0;0;0;0;0,31;0;0,31;0,31;0,31
2023-2024;Gonzalo García;esESP;FW;19;2;0;19;0,2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0,16;0;0,16;0,16;0,16
2023-2024;Gonzalo García;esESP;MF;19;2;0;19;0,2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0,16;0;0,16;0,16;0,16
2023-2024;Mario Martín;esESP;MF;19;2;0;18;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2023-2024;Álvaro Rodríguez;uyURU;FW;19;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;Federico Valverde;uyURU;MF;26;36;34;3032;33,7;6;4;10;6;0;0;4;0;2,7;2,7;3,1;5,8;66;226;76;0,18;0,12;0,3;0,18;0,3;0,08;0,09;0,17;0,08;0,17
2024-2025;Federico Valverde;uyURU;DF;26;36;34;3032;33,7;6;4;10;6;0;0;4;0;2,7;2,7;3,1;5,8;66;226;76;0,18;0,12;0,3;0,18;0,3;0,08;0,09;0,17;0,08;0,17
2024-2025;Kylian Mbappé;frFRA;FW;25;34;34;2907;32,3;31;3;34;24;7;9;3;1;25,9;18,6;7,7;26,3;150;140;386;0,96;0,09;1,05;0,74;0,84;0,8;0,24;1,04;0,58;0,81
2024-2025;Aurélien Tchouaméni;frFRA;DF;24;32;31;2689;29,9;0;0;0;0;0;0;5;0;1,7;1,7;0,6;2,2;19;154;13;0;0;0;0;0;0,06;0,02;0,07;0,06;0,07
2024-2025;Aurélien Tchouaméni;frFRA;MF;24;32;31;2689;29,9;0;0;0;0;0;0;5;0;1,7;1,7;0,6;2,2;19;154;13;0;0;0;0;0;0,06;0,02;0,07;0,06;0,07
2024-2025;Thibaut Courtois;beBEL;GK;32;30;30;2700;30;0;0;0;0;0;0;1;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;Jude Bellingham;engENG;MF;21;31;29;2488;27,6;9;8;17;8;1;2;5;1;11,4;9,9;3,9;13,7;74;199;143;0,33;0,29;0,61;0,29;0,58;0,41;0,14;0,55;0,36;0,5
